"fecha","nombre_producto","vendido"
2022-02-26,Boing Mango,90397.29
2021-06-10,Boing Guayaba,59798.36
2022-05-21,Epura Agua Purificada,13553.93
2022-06-28,Manzanita Sol,33171.86
2018-12-31,Epura Agua Purificada,18512.80
2020-07-05,Coca-Cola,81455.88
2019-09-18,Epura Agua Purificada,52309.75
2020-05-24,Manzanita Sol,65581.24
2018-03-30,Manzanita Sol,80962.95
2022-07-23,Mineral Agua Mineral,62946.17
2020-09-21,Manzanita Sol,84217.52
2022-04-04,Sprite,50369.15
2022-04-19,Sprite,77061.64
2020-03-15,Pepsi,56222.12
2021-08-28,Fanta,50740.12
2020-08-22,Coca-Cola,95062.04
2021-09-08,Fanta,74361.64
2021-10-03,Epura Agua Purificada,31259.27
2020-09-21,Sprite,70520.44
2019-07-13,Coca-Cola,63706.45
2020-06-20,Epura Agua Purificada,36092.06
2020-07-16,Manzanita Sol,58352.70
2022-09-07,Coca-Cola,71032.43
2021-02-10,Mineral Agua Mineral,62350.13
2021-11-13,Fanta,68871.92
2019-09-30,Boing Mango,36517.06
2021-01-10,Sprite,52128.05
2020-04-17,Epura Agua Purificada,46289.56
2019-10-21,Del Valle Naranja,60640.60
2018-02-17,Coca-Cola,18645.78
2018-02-06,Del Valle Naranja,68516.39
2021-11-17,Sprite,43049.25
2018-12-01,Fanta,64453.51
2021-04-02,Boing Mango,54558.52
2020-08-04,Boing Guayaba,60073.60
2019-04-16,Epura Agua Purificada,29938.96
2020-08-07,Mineral Agua Mineral,46729.04
2020-03-24,Mineral Agua Mineral,44126.19
2020-03-11,Pepsi,74147.90
2018-02-16,Sprite,53334.65
2018-08-04,Sprite,40761.71
2020-04-07,Pepsi,48818.19
2021-09-28,Mineral Agua Mineral,36411.91
2021-04-12,Coca-Cola,58382.54
2018-11-08,Fanta,35874.07
2022-08-02,Boing Mango,52852.26
2022-12-18,Fanta,58189.19
2020-10-25,Coca-Cola,115434.94
2021-05-30,Fanta,53592.73
2019-06-11,Epura Agua Purificada,33313.20
2021-07-18,Manzanita Sol,51709.23
2022-06-24,Coca-Cola,65258.90
2020-06-21,Coca-Cola,68292.47
2020-01-17,Manzanita Sol,70910.55
2020-07-16,Del Valle Naranja,53631.19
2022-07-03,Mineral Agua Mineral,67883.53
2021-05-13,Boing Mango,50410.31
2018-11-04,Manzanita Sol,58088.16
2021-07-29,Coca-Cola,64403.59
2022-01-20,Fanta,61521.77
2019-12-29,Epura Agua Purificada,21010.66
2020-06-17,Pepsi,54108.72
2018-11-21,Coca-Cola,102995.63
2018-09-24,Boing Mango,41980.98
2018-04-02,Mineral Agua Mineral,23021.34
2021-02-08,Sprite,43453.82
2020-03-13,Boing Mango,48415.68
2020-08-01,Mineral Agua Mineral,41550.07
2021-09-13,Fanta,49984.54
2020-08-06,Del Valle Naranja,71039.49
2018-04-09,Sprite,69993.21
2018-09-04,Manzanita Sol,68664.72
2019-03-07,Mineral Agua Mineral,51138.19
2022-03-08,Boing Guayaba,52910.82
2019-07-12,Sprite,55984.80
2020-04-18,Boing Guayaba,62684.27
2018-01-23,Del Valle Naranja,37632.84
2022-01-15,Del Valle Naranja,55302.08
2019-03-12,Mineral Agua Mineral,34700.13
2019-08-06,Fanta,43550.72
2021-07-10,Pepsi,33179.87
2022-09-26,Mineral Agua Mineral,38323.31
2021-10-07,Boing Mango,60631.61
2020-02-20,Coca-Cola,72605.08
2020-10-12,Sprite,40746.72
2021-11-20,Fanta,45490.67
2020-06-07,Del Valle Naranja,27299.03
2021-06-05,Pepsi,57484.32
2022-11-09,Sprite,65580.71
2020-04-30,Manzanita Sol,56075.82
2019-01-07,Sprite,57383.74
2019-02-10,Del Valle Naranja,58363.75
2021-04-23,Boing Mango,55426.53
2021-01-07,Boing Mango,61875.81
2020-01-10,Del Valle Naranja,63853.31
2021-03-28,Fanta,43980.53
2022-09-18,Pepsi,78781.73
2022-06-10,Pepsi,82586.86
2020-04-12,Boing Mango,53106.66
2018-10-24,Boing Guayaba,60852.36
2021-05-16,Manzanita Sol,55712.34
2021-04-17,Manzanita Sol,66788.79
2021-11-05,Pepsi,49435.51
2020-07-07,Manzanita Sol,76263.49
2021-07-30,Mineral Agua Mineral,43560.02
2021-07-12,Mineral Agua Mineral,19531.17
2019-01-27,Coca-Cola,48282.44
2020-11-18,Pepsi,98028.41
2019-10-04,Mineral Agua Mineral,38920.86
2018-01-31,Boing Mango,65400.47
2019-02-25,Fanta,47940.92
2018-04-20,Sprite,20439.97
2022-04-10,Coca-Cola,72383.53
2019-03-05,Epura Agua Purificada,34766.57
2021-12-25,Del Valle Naranja,98094.11
2019-09-04,Fanta,44278.55
2019-03-15,Boing Mango,70092.13
2021-12-12,Sprite,55444.47
2018-07-01,Mineral Agua Mineral,58004.83
2020-05-17,Del Valle Naranja,55103.33
2021-05-10,Mineral Agua Mineral,52909.17
2022-07-30,Mineral Agua Mineral,39353.21
2020-04-25,Del Valle Naranja,67570.10
2021-08-15,Fanta,55575.59
2021-11-21,Del Valle Naranja,43289.68
2022-01-14,Pepsi,68385.86
2022-07-29,Boing Mango,38679.43
2021-08-16,Del Valle Naranja,91686.50
2019-01-14,Pepsi,91342.76
2022-03-31,Mineral Agua Mineral,49849.45
2018-01-06,Del Valle Naranja,87991.57
2018-01-11,Boing Guayaba,61350.37
2022-01-26,Del Valle Naranja,58169.62
2018-10-05,Manzanita Sol,104741.15
2022-03-01,Mineral Agua Mineral,65312.01
2021-07-08,Manzanita Sol,70786.38
2020-10-03,Boing Mango,58432.76
2022-04-13,Epura Agua Purificada,49827.84
2020-02-20,Del Valle Naranja,88974.56
2018-07-25,Manzanita Sol,71295.64
2022-09-23,Coca-Cola,49253.78
2022-04-24,Manzanita Sol,63036.61
2022-09-24,Sprite,79332.91
2018-08-25,Epura Agua Purificada,77213.21
2022-09-01,Fanta,80833.02
2022-05-01,Epura Agua Purificada,34365.32
2020-01-15,Coca-Cola,98260.46
2018-03-31,Del Valle Naranja,50354.53
2022-10-24,Boing Mango,56098.02
2018-08-02,Boing Mango,19824.32
2020-03-11,Fanta,81882.03
2022-09-09,Del Valle Naranja,62344.97
2020-05-20,Boing Guayaba,52178.04
2018-09-08,Fanta,59335.56
2020-11-19,Epura Agua Purificada,47188.17
2018-03-14,Boing Guayaba,42007.49
2022-08-08,Del Valle Naranja,79792.51
2022-09-16,Mineral Agua Mineral,49988.23
2020-11-24,Pepsi,69893.14
2021-06-15,Fanta,40746.52
2021-12-26,Coca-Cola,61833.86
2019-02-28,Boing Mango,54560.59
2019-03-01,Manzanita Sol,73403.37
2018-03-12,Del Valle Naranja,43494.72
2021-05-14,Pepsi,59732.59
2022-11-20,Epura Agua Purificada,36211.82
2019-05-26,Boing Mango,47752.72
2019-01-31,Sprite,31824.13
2018-02-17,Del Valle Naranja,87005.95
2018-10-15,Manzanita Sol,25621.49
2019-04-07,Mineral Agua Mineral,77838.78
2021-10-25,Manzanita Sol,40121.17
2021-10-04,Pepsi,96175.77
2021-10-08,Sprite,76834.05
2021-06-15,Pepsi,54548.98
2018-07-23,Mineral Agua Mineral,40014.66
2021-04-25,Manzanita Sol,77239.62
2021-11-02,Coca-Cola,137833.87
2021-01-05,Manzanita Sol,79019.21
2022-06-21,Epura Agua Purificada,50953.71
2022-05-30,Boing Mango,74510.74
2018-11-01,Sprite,57645.72
2022-01-27,Coca-Cola,71641.84
2019-07-18,Del Valle Naranja,62609.28
2019-03-01,Sprite,61889.91
2019-09-15,Manzanita Sol,88438.98
2020-09-25,Del Valle Naranja,51811.58
2019-02-18,Del Valle Naranja,56978.76
2022-02-24,Boing Guayaba,60430.77
2021-12-14,Sprite,66095.35
2020-10-28,Del Valle Naranja,67235.88
2018-08-03,Fanta,95074.15
2021-07-05,Pepsi,37784.95
2021-11-05,Coca-Cola,61502.75
2019-12-29,Boing Mango,18818.73
2019-08-10,Del Valle Naranja,43561.12
2021-01-09,Boing Guayaba,45887.93
2021-04-29,Mineral Agua Mineral,24132.03
2019-05-26,Del Valle Naranja,74232.00
2020-05-20,Fanta,49895.82
2018-10-17,Mineral Agua Mineral,20776.45
2022-12-26,Boing Mango,52634.43
2021-11-17,Mineral Agua Mineral,24741.90
2019-09-01,Mineral Agua Mineral,49163.35
2020-08-04,Coca-Cola,78642.57
2021-08-06,Coca-Cola,81718.20
2020-01-22,Sprite,26282.81
2020-10-17,Boing Mango,36678.86
2020-10-07,Fanta,73220.07
2022-09-11,Del Valle Naranja,58694.48
2018-04-19,Mineral Agua Mineral,25407.00
2018-12-04,Epura Agua Purificada,34171.03
2021-07-18,Fanta,73949.05
2019-12-01,Sprite,87820.15
2022-04-02,Boing Mango,39081.50
2020-05-14,Mineral Agua Mineral,48059.08
2020-02-24,Mineral Agua Mineral,39214.07
2021-12-21,Epura Agua Purificada,57665.49
2022-03-28,Mineral Agua Mineral,30641.25
2018-04-16,Epura Agua Purificada,73979.40
2020-09-20,Sprite,50551.92
2020-09-14,Del Valle Naranja,20697.76
2018-10-09,Fanta,73998.83
2019-03-15,Del Valle Naranja,38809.66
2019-04-24,Coca-Cola,62823.86
2022-12-06,Boing Guayaba,84043.72
2022-04-11,Epura Agua Purificada,35344.69
2019-11-21,Pepsi,44693.32
2021-05-31,Manzanita Sol,64887.96
2021-01-26,Boing Mango,44347.50
2020-08-01,Epura Agua Purificada,41313.02
2021-05-13,Mineral Agua Mineral,51344.96
2022-11-08,Boing Mango,77195.52
2021-06-17,Boing Mango,48439.70
2021-12-15,Fanta,63485.15
2021-10-01,Pepsi,70192.11
2021-06-04,Pepsi,85733.49
2018-06-28,Sprite,85340.49
2018-12-18,Mineral Agua Mineral,47919.00
2020-02-06,Mineral Agua Mineral,37231.11
2021-11-30,Pepsi,60508.91
2022-12-25,Sprite,49260.69
2018-06-09,Sprite,73831.48
2022-05-26,Del Valle Naranja,58223.45
2019-06-15,Epura Agua Purificada,52283.03
2019-05-09,Sprite,98104.00
2020-12-22,Fanta,74821.74
2020-03-27,Pepsi,53955.14
2019-07-09,Boing Mango,41642.30
2021-09-02,Epura Agua Purificada,31032.02
2018-10-03,Pepsi,58425.90
2022-08-09,Manzanita Sol,71440.43
2018-02-21,Fanta,57617.66
2020-01-28,Coca-Cola,52495.02
2018-12-22,Fanta,89816.43
2019-12-15,Pepsi,62592.40
2020-04-18,Sprite,43048.24
2022-10-21,Boing Mango,47648.78
2021-09-23,Boing Guayaba,86512.55
2019-10-18,Coca-Cola,99913.05
2018-01-02,Epura Agua Purificada,57769.58
2020-02-21,Mineral Agua Mineral,38289.88
2021-10-28,Epura Agua Purificada,19684.15
2020-11-11,Boing Guayaba,46139.40
2020-04-26,Pepsi,83707.16
2021-02-21,Pepsi,23388.43
2021-12-05,Mineral Agua Mineral,55996.31
2022-06-12,Manzanita Sol,72825.73
2019-11-29,Boing Guayaba,44505.15
2020-11-04,Pepsi,52300.22
2022-01-24,Mineral Agua Mineral,18837.15
2021-04-05,Epura Agua Purificada,29280.22
2022-06-30,Coca-Cola,80871.97
2021-10-20,Manzanita Sol,31664.95
2018-05-03,Epura Agua Purificada,55574.15
2019-12-03,Pepsi,47182.46
2022-05-18,Fanta,60507.56
2022-10-08,Boing Mango,57226.65
2020-11-04,Mineral Agua Mineral,17605.67
2021-06-19,Manzanita Sol,59502.05
2022-11-01,Del Valle Naranja,43931.47
2019-04-03,Epura Agua Purificada,24798.03
2020-05-09,Del Valle Naranja,65703.30
2019-10-13,Epura Agua Purificada,44488.12
2018-03-19,Manzanita Sol,68592.32
2019-03-17,Boing Mango,37629.21
2022-05-05,Boing Mango,40021.78
2018-04-06,Coca-Cola,79135.31
2022-06-21,Fanta,37776.28
2018-12-24,Boing Mango,56608.79
2018-09-06,Manzanita Sol,88836.16
2022-09-18,Fanta,73222.51
2022-02-28,Boing Guayaba,45011.82
2022-01-26,Manzanita Sol,98079.33
2022-01-24,Fanta,66096.13
2019-11-05,Mineral Agua Mineral,25728.53
2022-05-13,Pepsi,77379.37
2020-06-24,Boing Mango,47771.09
2020-01-20,Mineral Agua Mineral,48757.66
2018-08-08,Pepsi,66341.31
2022-02-05,Coca-Cola,50402.04
2019-03-21,Pepsi,60276.06
2019-04-22,Del Valle Naranja,40007.19
2022-09-29,Sprite,42788.21
2018-02-08,Coca-Cola,65899.81
2021-10-02,Sprite,56455.59
2021-10-11,Epura Agua Purificada,37982.05
2019-10-14,Fanta,38317.27
2019-10-17,Sprite,59253.00
2022-03-20,Boing Guayaba,35167.70
2022-06-15,Fanta,59586.89
2020-02-01,Boing Guayaba,72610.14
2018-05-03,Boing Mango,43073.16
2021-09-19,Sprite,36532.40
2018-04-29,Manzanita Sol,62745.97
2020-05-16,Pepsi,52472.70
2018-01-12,Coca-Cola,80383.55
2022-06-12,Pepsi,103004.38
2021-12-15,Mineral Agua Mineral,49008.59
2022-06-19,Coca-Cola,101344.20
2020-09-05,Coca-Cola,81206.64
2022-12-10,Epura Agua Purificada,76165.14
2020-06-06,Boing Guayaba,84180.29
2021-05-27,Sprite,41219.56
2019-08-30,Manzanita Sol,78249.60
2019-11-24,Fanta,75908.11
2018-07-19,Coca-Cola,81912.51
2021-12-26,Boing Guayaba,52133.47
2020-05-03,Boing Mango,45452.24
2018-09-01,Manzanita Sol,92920.53
2020-11-26,Coca-Cola,83324.65
2018-03-31,Sprite,67357.99
2022-11-11,Coca-Cola,52900.86
2022-02-16,Boing Mango,80271.92
2019-05-20,Manzanita Sol,98722.55
2018-08-25,Coca-Cola,112249.38
2019-08-07,Boing Mango,75390.26
2019-01-02,Sprite,74735.01
2021-12-30,Sprite,32345.23
2020-10-01,Fanta,32570.70
2022-09-20,Sprite,93208.75
2022-09-02,Del Valle Naranja,52069.86
2019-04-10,Coca-Cola,46224.24
2021-12-22,Mineral Agua Mineral,65945.59
2019-10-29,Mineral Agua Mineral,39854.55
2021-04-19,Mineral Agua Mineral,28054.16
2020-02-21,Coca-Cola,20856.52
2019-04-07,Del Valle Naranja,98106.02
2019-09-18,Coca-Cola,131182.39
2019-08-09,Coca-Cola,117179.68
2022-04-06,Pepsi,58550.44
2019-01-11,Fanta,46567.32
2020-12-20,Pepsi,53478.23
2018-11-30,Manzanita Sol,23563.19
2018-03-18,Del Valle Naranja,31405.62
2019-11-05,Sprite,66318.90
2018-06-01,Sprite,69553.44
2021-03-27,Mineral Agua Mineral,55144.55
2020-12-31,Del Valle Naranja,17479.58
2020-08-28,Epura Agua Purificada,29546.58
2020-08-01,Boing Guayaba,39497.88
2018-02-12,Coca-Cola,67912.69
2022-05-21,Manzanita Sol,49901.56
2018-04-02,Sprite,57961.08
2021-01-11,Sprite,43771.45
2021-05-08,Epura Agua Purificada,32023.35
2022-09-13,Epura Agua Purificada,37918.76
2018-07-16,Epura Agua Purificada,43991.89
2020-03-23,Boing Mango,43269.71
2022-02-28,Sprite,43233.15
2019-07-20,Manzanita Sol,63477.62
2021-07-21,Pepsi,63777.07
2021-09-16,Boing Guayaba,42644.26
2020-06-04,Pepsi,63843.85
2018-04-05,Manzanita Sol,61210.43
2019-03-02,Coca-Cola,83740.03
2020-10-27,Boing Mango,33171.59
2019-12-23,Del Valle Naranja,60698.51
2021-01-24,Manzanita Sol,47866.75
2019-04-15,Boing Mango,52536.73
2022-03-04,Coca-Cola,118196.29
2021-05-07,Coca-Cola,93229.96
2021-07-05,Mineral Agua Mineral,30431.89
2020-08-03,Epura Agua Purificada,39480.77
2019-05-02,Manzanita Sol,71321.89
2020-03-08,Sprite,80279.22
2021-03-02,Pepsi,64102.83
2019-07-21,Manzanita Sol,81711.51
2022-01-15,Pepsi,47880.54
2018-07-17,Boing Guayaba,105043.13
2022-01-20,Boing Mango,23815.83
2019-03-10,Pepsi,56217.14
2019-02-11,Coca-Cola,72842.48
2021-11-08,Fanta,87302.18
2018-03-20,Mineral Agua Mineral,21066.39
2019-04-17,Coca-Cola,54750.85
2021-07-21,Coca-Cola,65256.24
2020-12-07,Manzanita Sol,40511.27
2019-04-08,Manzanita Sol,81635.27
2019-09-21,Sprite,35803.69
2020-02-27,Boing Mango,33419.01
2022-10-29,Boing Mango,29366.23
2021-05-12,Manzanita Sol,77016.57
2021-12-26,Epura Agua Purificada,37473.03
2020-03-07,Boing Mango,59286.48
2022-06-20,Sprite,46976.10
2019-05-05,Coca-Cola,70139.14
2022-01-28,Boing Mango,47780.38
2021-08-22,Manzanita Sol,76318.70
2020-01-13,Boing Mango,45446.32
2022-11-13,Epura Agua Purificada,46382.77
2019-06-23,Pepsi,67363.46
2019-02-17,Epura Agua Purificada,37068.16
2020-07-31,Boing Guayaba,99941.52
2021-09-12,Sprite,58595.49
2020-11-13,Pepsi,56842.50
2021-03-29,Coca-Cola,90001.10
